1,15-MAR,AUSTRALIA,Melbourne
2,22-MAR,BAHRAIN,Sakhir
3,5-APR,VIETNAM,Hanoi
4,19-APR,CHINA,Shanghai
5,3-MAY,NETHERLANDS,Zandvoort
6,10-MAY,SPAIN,Barcelona
7,24-MAY,MONACO,Monte-Carlo
8,7-JUN,AZERBAIJAN,Baku
9,14-JUN,CANADA,Montreal
10,28-JUN,FRANCE,Le-Castellet
11,5-JUL,AUSTRIA,Spielberg
12,19-JUL,GREAT-BRITAIN,Silverstone
13,2-AUG,HUNGARY,Budapest
14,30-AUG,BELGIUM,Spa-Francorchamps
15,6-SEP,ITALY,Monza
16,20-SEP,SINGAPORE,Singapore
17,27-SEP,RUSSIA,Sochi
18,11-OCT,JAPAN,Suzuka
19,25-OCT,UNITED-STATES,Austin
20,1-NOV,MEXICO-CITY,Mexico-City
21,15-NOV,BRAZIL,Sao-Paulo
22,29-NOV,ABU-DHABI,Yas-Island
