AUSTRALIA,Melbourne Grand Prix Circuit,-37.850071 144.969035,Australian
BAHRAIN,Bahrain International Circuit,26.031588 50.512904,Bahrain
VIETNAM,Hanoi Street Circuit,21.017492 105.765262,Vietnamese
CHINA,Shanghai International Circuit,31.339460 121.221676,Chinese
NETHERLANDS,Circuit Zandvoort,52.387695 4.544181,Dutch
SPAIN,Circuit de Barcelona-Catalunya,41.568203 2.257149,Spanish
MONACO,Circuit de Monaco,43.734500 7.421404,Monaco
AZERBAIJAN,Baku City Circuit,40.372910 49.853128,Azerbaijan
CANADA,Circuit Gilles Villeneuve,45.503196 -73.526688,Canadian
FRANCE,Circuit Paul Ricard,43.251678 5.792785,French
AUSTRIA,Red Bull Ring,47.220134 14.765254,Austrian
GREAT BRITAIN,Silverstone Circuit,52.073238 -1.014548,British
HUNGARY,Hungaroring,47.581668 19.250632,Hungarian
BELGIUM,Circuit de Spa-Francorchamps,50.436864 5.972134,Belgian
ITALY,Autodromo Nazionale Monza,45.621776 9.284795,Italian
SINGAPORE,Marina Bay Street Circuit,1.291357 103.863931,Singapore
RUSSIA,Sochi Autodrom,43.409938 39.969026,Russian
JAPAN,Suzuka International Racing Course,34.845567 136.538995,Japanese
UNITED STATES,Circuit of the Americas,30.134544 -97.635819,United States
MEXICO CITY,Autódromo Hermanos Rodríguez,19.404011 -99.089473,Mexican
BRAZIL,Autódromo José Carlos Pace,-23.701205 -46.697976,Brazilian
ABU DHABI,Yas Marina Circuit,24.474990 54.603879,Abu Dhabi
